experiment_id,model_name,fpr,tpr,threshold
baseline_tarea4_04,Baseline logístico tarea4,0.2619047619047619,0.7755102040816326,0.5309970291263908
baseline_tarea4_04,Baseline logístico tarea4,0.2619047619047619,0.7959183673469388,0.4925709992553878
baseline_tarea4_04,Baseline logístico tarea4,0.35714285714285715,0.7959183673469388,0.37958389975513623
baseline_tarea4_04,Baseline logístico tarea4,0.35714285714285715,0.8163265306122449,0.3615224954376995
baseline_tarea4_04,Baseline logístico tarea4,0.38095238095238093,0.8163265306122449,0.34831325911177957
baseline_tarea4_04,Baseline logístico tarea4,0.38095238095238093,0.8367346938775511,0.3225973550684546
baseline_tarea4_04,Baseline logístico tarea4,0.42857142857142855,0.8367346938775511,0.28992951635289327
baseline_tarea4_04,Baseline logístico tarea4,0.42857142857142855,0.8775510204081632,0.27819635615460714
baseline_tarea4_04,Baseline logístico tarea4,0.5,0.8775510204081632,0.24837618658283253
baseline_tarea4_04,Baseline logístico tarea4,0.5,0.8979591836734694,0.24480303240840084
baseline_tarea4_04,Baseline logístico tarea4,0.5476190476190477,0.8979591836734694,0.24126478172199867
baseline_tarea4_04,Baseline logístico tarea4,0.5952380952380952,0.8979591836734694,0.23429351883613775
baseline_tarea4_04,Baseline logístico tarea4,0.5952380952380952,0.9183673469387755,0.22410129860653819
baseline_tarea4_04,Baseline logístico tarea4,0.6190476190476191,0.9183673469387755,0.21100859610367043
baseline_tarea4_04,Baseline logístico tarea4,0.6666666666666666,0.9183673469387755,0.20782437522049252
baseline_tarea4_04,Baseline logístico tarea4,0.7380952380952381,0.9183673469387755,0.1984851346168685
baseline_tarea4_04,Baseline logístico tarea4,0.7380952380952381,0.9387755102040817,0.1894652050054937
baseline_tarea4_04,Baseline logístico tarea4,0.7857142857142857,0.9591836734693877,0.18652922575559375
baseline_tarea4_04,Baseline logístico tarea4,0.8333333333333334,0.9591836734693877,0.17237497210174166
baseline_tarea4_04,Baseline logístico tarea4,0.8809523809523809,0.9591836734693877,0.1515168319899106
baseline_tarea4_04,Baseline logístico tarea4,0.8809523809523809,0.9795918367346939,0.14906076054866998
baseline_tarea4_04,Baseline logístico tarea4,0.9047619047619048,0.9795918367346939,0.14188925777700587
baseline_tarea4_04,Baseline logístico tarea4,0.9285714285714286,1.0,0.13500804344728742
baseline_tarea4_04,Baseline logístico tarea4,1.0,1.0,0.10116468781380426
logit_regularizado_02,Logit multivariable regularizado,0.0,0.0,inf
logit_regularizado_02,Logit multivariable regularizado,0.0,0.02040816326530612,0.9593117967585985
logit_regularizado_02,Logit multivariable regularizado,0.0,0.14285714285714285,0.9199336978760416
logit_regularizado_02,Logit multivariable regularizado,0.023809523809523808,0.14285714285714285,0.9136290359661497
logit_regularizado_02,Logit multivariable regularizado,0.023809523809523808,0.3469387755102041,0.8257178348711641
logit_regularizado_02,Logit multivariable regularizado,0.047619047619047616,0.3469387755102041,0.8121578031963651
logit_regularizado_02,Logit multivariable regularizado,0.047619047619047616,0.6530612244897959,0.6442051431440318
logit_regularizado_02,Logit multivariable regularizado,0.09523809523809523,0.6530612244897959,0.6202633135409534
logit_regularizado_02,Logit multivariable regularizado,0.09523809523809523,0.6938775510204082,0.594641502822313
logit_regularizado_02,Logit multivariable regularizado,0.11904761904761904,0.6938775510204082,0.5888524816291618
logit_regularizado_02,Logit multivariable regularizado,0.11904761904761904,0.7551020408163265,0.557999531586784
logit_regularizado_02,Logit multivariable regularizado,0.14285714285714285,0.7551020408163265,0.5532080096682667
logit_regularizado_02,Logit multivariable regularizado,0.14285714285714285,0.7755102040816326,0.5086974207306533
logit_regularizado_02,Logit multivariable regularizado,0.16666666666666666,0.7755102040816326,0.505226848124569
logit_regularizado_02,Logit multivariable regularizado,0.16666666666666666,0.7959183673469388,0.504911524164186
logit_regularizado_02,Logit multivariable regularizado,0.19047619047619047,0.7959183673469388,0.49481694727311554
logit_regularizado_02,Logit multivariable regularizado,0.19047619047619047,0.8163265306122449,0.4942021974604787
logit_regularizado_02,Logit multivariable regularizado,0.23809523809523808,0.8163265306122449,0.47193508970368786
logit_regularizado_02,Logit multivariable regularizado,0.23809523809523808,0.8775510204081632,0.43653087770894095
logit_regularizado_02,Logit multivariable regularizado,0.2857142857142857,0.8775510204081632,0.36987688599473056
logit_regularizado_02,Logit multivariable regularizado,0.2857142857142857,0.9183673469387755,0.30511424363621126
logit_regularizado_02,Logit multivariable regularizado,0.3333333333333333,0.9183673469387755,0.2733966107549596
logit_regularizado_02,Logit multivariable regularizado,0.3333333333333333,0.9387755102040817,0.26417918822438075
logit_regularizado_02,Logit multivariable regularizado,0.40476190476190477,0.9387755102040817,0.22136672400105173
logit_regularizado_02,Logit multivariable regularizado,0.40476190476190477,0.9591836734693877,0.2166975211852714
logit_regularizado_02,Logit multivariable regularizado,0.4523809523809524,0.9591836734693877,0.15760746591567382
logit_regularizado_02,Logit multivariable regularizado,0.4523809523809524,0.9795918367346939,0.14504054160694235
logit_regularizado_02,Logit multivariable regularizado,0.7619047619047619,0.9795918367346939,0.0668618723693785
logit_regularizado_02,Logit multivariable regularizado,0.7619047619047619,1.0,0.05966396093216705
logit_regularizado_02,Logit multivariable regularizado,1.0,1.0,0.0179930325591755
random_forest_03,Random forest multivariable,0.0,0.0,inf
random_forest_03,Random forest multivariable,0.0,0.02040816326530612,0.962619634364571
random_forest_03,Random forest multivariable,0.0,0.20408163265306123,0.8871971498043885
